unreal_name,priority,source_file,category,role,source_type,license,creator,source_url,target_unreal_path,channels,sample_rate,bit_depth,duration_seconds,loop,notes
S_HazardWarning,P1,SourceAudio/Procedural/S_HazardWarning.wav,Environment,Hazard warning,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Environment,1,48000,16,0.62,False,Short warning beep.
S_JumpPad_Bounce,P1,SourceAudio/Procedural/S_JumpPad_Bounce.wav,Environment,Jump pad activation,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Environment,1,48000,16,0.58,False,Elastic toy spring bounce.
S_Hazard_Deactivate,P1,SourceAudio/Procedural/S_Hazard_Deactivate.wav,Environment,Hazard deactivation,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Environment,1,48000,16,0.48,False,Soft hazard power-down release.
S_GameClear,P1,SourceAudio/Procedural/S_GameClear.wav,UI,Game clear,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,3.1,False,Short celebration sting.
BGM_MainMenu,P1/P2,SourceAudio/Procedural/BGM_MainMenu.wav,BGM,Main menu loop,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/BGM,2,48000,16,45.0,True,Bright morning piano loop.
BGM_Play_Common,P1/P2,SourceAudio/Procedural/BGM_Play_Common.wav,BGM,Common gameplay loop,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/BGM,2,48000,16,48.0,True,Sunlit playful piano loop.
BGM_LivingRoom,P1/P2,SourceAudio/Procedural/BGM_LivingRoom.wav,BGM,Living room loop,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/BGM,2,48000,16,45.0,True,Soft Debussy-inspired morning piano loop.
BGM_Kitchen,P1/P2,SourceAudio/Procedural/BGM_Kitchen.wav,BGM,Kitchen loop,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/BGM,2,48000,16,50.0,True,Playful kitchen piano with light tension.
BGM_CheonbokLand,P1/P2,SourceAudio/Procedural/BGM_CheonbokLand.wav,BGM,Dream amusement loop,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/BGM,2,48000,16,56.0,True,Dreamy upbeat theme-park piano loop.
S_CS_RoomTone_Night,CIN,SourceAudio/Procedural/S_CS_RoomTone_Night.wav,Cinematics,Opening room tone,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,8.0,True,Quiet night room tone.
S_CS_EarTwitch_Sparkle,CIN,SourceAudio/Procedural/S_CS_EarTwitch_Sparkle.wav,Cinematics,Ear twitch sparkle,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,0.8,False,Small metallic sparkle.
S_CS_GoldenFish_Loop,CIN,SourceAudio/Procedural/S_CS_GoldenFish_Loop.wav,Cinematics,Golden fish light loop,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,6.0,True,Soft moving shimmer loop.
S_CS_DreamTransition,CIN,SourceAudio/Procedural/S_CS_DreamTransition.wav,Cinematics,Dream transition,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,3.2,False,Reality to dream shimmer.
S_CS_PawBulb_On,CIN,SourceAudio/Procedural/S_CS_PawBulb_On.wav,Cinematics,Paw bulb turns on,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,0.7,False,Tiny bulb lighting cue.
S_CS_Sign_LightUp,CIN,SourceAudio/Procedural/S_CS_Sign_LightUp.wav,Cinematics,Cheonbok Land sign lights up,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,2.6,False,Broad sign lighting sparkle.
S_CS_Cheonbok_SoftCollapse,CIN,SourceAudio/Procedural/S_CS_Cheonbok_SoftCollapse.wav,Cinematics,Game over soft collapse,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/Cinematics,1,48000,16,1.2,False,Comic soft collapse.
